land,aar,financial_allocation,humanitarian_allocation,military_allocation,total_allocation,financial_commitment,humanitarian_commitment,military_commitment,total_commitment,per_capita_eur,andel_bnp_pct
Italy,2025,0.0,0.20650000000000002,0.32318983241780286,0.5296898324178029,0.0,0.164,0.32318983241780286,0.4871898324178029,8.984996386557652,0.02972361681901995
Japan,2022,0.5592112424551918,0.5793708139829943,0.0,1.138582056438186,0.5592112424551918,0.5793708139829943,0.0,1.138582056438186,9.183937480922612,0.02725521565673161
Japan,2023,4.117511921239702,0.690791640976032,0.028022125295450666,4.836325687511184,8.365031716759178,1.6079659716801324,0.028022125295450666,10.00101981373476,39.01037479057985,0.11577127783979299
Japan,2024,3.647836685509584,0.1743094303447343,0.03509719755961966,3.857243313413938,3.3225876094275004,0.1743094303447343,0.03509719755961966,3.5319942373318547,31.112980604945623,0.09233414293956108
Japan,2025,0.474204966908097,0.2289316976624458,0.0,0.7031366645705428,3.843291321482169,0.2289316976624458,0.0,4.072223019144615,5.671583467740079,0.01683158567330323
Japan,2026,0.46854054694074315,0.033796398503146606,0.0,0.5023369454438897,0.0,0.033796398503146606,0.0,0.033796398503146606,4.051909192866136,0.012024870498352476
Latvia,2022,0.015,0.004597854978728666,0.29669360339335954,0.3162914583720882,0.015,0.004597854978728666,0.29669360339335954,0.3162914583720882,169.49112619101848,0.9386644654061881
Latvia,2023,0.021000000000000005,0.005302588900957572,0.08256554669913799,0.10886813560009556,0.021000000000000005,0.005302588900957572,0.08256554669913799,0.10886813560009556,58.33917553179508,0.32309013600555114
Latvia,2024,0.01125,0.007629080026119245,0.1121,0.13097908002611927,0.01125,0.017629080026119247,0.1121,0.14097908002611925,70.18776888680456,0.38870922649917866
Latvia,2025,0.0,0.006968755,0.08127584628659036,0.08824460128659035,0.0,0.0018987550000000002,0.10127584628659037,0.10317460128659037,47.28764073908827,0.2618852621502511
Latvia,2026,0.0,0.0,0.0100746,0.0100746,0.0,0.0,0.0100125,0.0100125,5.398676615273154,0.029898591229284066
Lithuania,2022,0.02,0.061,0.37353109002172075,0.4545310900217208,0.02,0.061,0.24734748082997737,0.3283474808299774,157.3709629134456,0.8090754253638538
Lithuania,2023,0.021500000000000002,0.006977307874553941,0.3068523464502671,0.3353296543248211,0.021500000000000002,0.007104615749107881,0.4624972126540588,0.49110182840316674,116.10020030094788,0.5968942249847059
Lithuania,2024,0.01,0.08662000000000002,0.23656401461798265,0.3331840146179827,0.01,0.07662000000000001,0.031000000000000003,0.11762,115.35732177372908,0.59307493869913
Lithuania,2025,0.0,0.029,0.224,0.253,0.0,0.030000000000000002,0.439,0.46900000000000003,87.59544614472706,0.45034561355808056
Lithuania,2026,0.0,0.018470000000000004,0.023,0.04147,0.0,0.018470000000000004,0.0,0.018470000000000004,14.358036172418306,0.07381752013538972
Luxembourg,2022,0.0,0.017361111111111112,0.07497693239450283,0.09233804350561393,0.0,0.004,0.07497693239450283,0.07897693239450283,136.39055660108528,0.12772391969419444
Luxembourg,2023,0.0013,0.0007738888888888888,0.04848501653166596,0.050558905420554856,0.0013,0.0006670000000000001,0.03528501653166596,0.03725201653166596,74.67948193023884,0.06993413906770414
Luxembourg,2024,0.0,0.0,0.04567832714160006,0.04567832714160006,0.0,0.0,0.16359803855498203,0.16359803855498203,67.47048374563533,0.0631832207625686
Luxembourg,2025,0.0,0.02,0.0435,0.0635,0.0,0.02,0.17250000000000001,0.19250000000000003,93.79449699562194,0.08783453268736682
Luxembourg,2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Malta,2022,0.0,0.00115,0.0,0.00115,0.0,0.00115,0.0,0.00115,2.021633233540829,0.00783314809993751
Malta,2023,0.0,0.00037,0.0,0.00037,0.0,0.00037,0.0,0.00037,0.6504385186174841,0.002520230258240764
Malta,2025,0.0,0.0001,0.0,0.0001,0.0,0.0001,0.0,0.0001,0.17579419422094167,0.0006811433130380443
Malta,2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Netherlands,2022,0.36837541299559473,0.20842945420568218,1.096278308715389,1.673083175916666,0.9933754129955947,0.5834294542056822,2.1513513509534827,3.7281562181547594,92.98271990760355,0.1953723890434223
Netherlands,2023,0.34750000000000003,0.3578750000000001,2.4608155832465464,3.166190583246546,0.062,0.132,2.1012045573960005,2.2952045573960005,175.96316573729578,0.3697283119691565
